"","id","roi","yeo_krienen"
"1",1,"lh_bankssts",7
"2",2,"lh_caudalanteriorcingulate",4
"3",3,"lh_caudalmiddlefrontal",7
"4",4,"lh_cuneus",1
"5",5,"lh_entorhinal",5
"6",6,"lh_fusiform",1
"7",7,"lh_inferiorparietal",7
"8",8,"lh_inferiortemporal",5
"9",9,"lh_isthmuscingulate",7
"10",10,"lh_lateraloccipital",1
"11",11,"lh_lateralorbitofrontal",5
"12",12,"lh_lingual",1
"13",13,"lh_medialorbitofrontal",5
"14",14,"lh_middletemporal",7
"15",15,"lh_parahippocampal",5
"16",16,"lh_paracentral",2
"17",17,"lh_parsopercularis",7
"18",18,"lh_parsorbitalis",7
"19",19,"lh_parstriangularis",7
"20",20,"lh_pericalcarine",1
"21",21,"lh_postcentral",2
"22",22,"lh_posteriorcingulate",4
"23",23,"lh_precentral",2
"24",24,"lh_precuneus",7
"25",25,"lh_rostralanteriorcingulate",7
"26",26,"lh_rostralmiddlefrontal",6
"27",27,"lh_superiorfrontal",7
"28",28,"lh_superiorparietal",3
"29",29,"lh_superiortemporal",7
"30",30,"lh_supramarginal",4
"31",31,"lh_frontalpole",5
"32",32,"lh_temporalpole",5
"33",33,"lh_transversetemporal",2
"34",34,"lh_insula",4
"35",42,"rh_bankssts",7
"36",43,"rh_caudalanteriorcingulate",4
"37",44,"rh_caudalmiddlefrontal",6
"38",45,"rh_cuneus",1
"39",46,"rh_entorhinal",5
"40",47,"rh_fusiform",1
"41",48,"rh_inferiorparietal",3
"42",49,"rh_inferiortemporal",5
"43",50,"rh_isthmuscingulate",1
"44",51,"rh_lateraloccipital",1
"45",52,"rh_lateralorbitofrontal",5
"46",53,"rh_lingual",1
"47",54,"rh_medialorbitofrontal",5
"48",55,"rh_middletemporal",7
"49",56,"rh_parahippocampal",1
"50",57,"rh_paracentral",2
"51",58,"rh_parsopercularis",6
"52",59,"rh_parsorbitalis",7
"53",60,"rh_parstriangularis",7
"54",61,"rh_pericalcarine",1
"55",62,"rh_postcentral",2
"56",63,"rh_posteriorcingulate",4
"57",64,"rh_precentral",2
"58",65,"rh_precuneus",7
"59",66,"rh_rostralanteriorcingulate",7
"60",67,"rh_rostralmiddlefrontal",6
"61",68,"rh_superiorfrontal",7
"62",69,"rh_superiorparietal",3
"63",70,"rh_superiortemporal",7
"64",71,"rh_supramarginal",4
"65",72,"rh_frontalpole",5
"66",73,"rh_temporalpole",5
"67",74,"rh_transversetemporal",2
"68",75,"rh_insula",4
